year,sum,man,weman,birthrate,sum_special_birthrate
2022,770759,395257,375502,6.3,1.3
2021,811622,415903,395719,6.6,1.3
2020,840835,430713,410122,6.8,1.3
2019,865239,443430,421809,7.0,1.4
2018,918400,470851,447549,7.4,1.4
2017,946146,484478,461668,7.6,1.4
2016,977242,502012,475230,7.8,1.4
2015,1005721,515468,490253,8.0,1.5
2014,1003609,515572,488037,8.0,1.4
2013,1029817,527657,502160,8.2,1.4
2012,1037232,531781,505451,8.2,1.4
2011,1050807,538271,512536,8.3,1.4
2010,1071305,550743,520562,8.5,1.4
2009,1070036,548994,521042,8.5,1.4
2008,1091156,559513,531643,8.7,1.4
2007,1089818,559847,529971,8.6,1.3
2006,1092674,560439,532235,8.7,1.3
2005,1062530,545032,517498,8.4,1.3
2004,1110721,569559,541162,8.8,1.3
2003,1123610,576736,546874,8.9,1.3
2002,1153855,592840,561015,9.2,1.3
2001,1170662,600918,569744,9.3,1.3
2000,1190547,612148,578399,9.5,1.4
1999,1177669,604769,572900,9.4,1.3
1998,1203147,617414,585733,9.6,1.4
1997,1191665,610905,580760,9.5,1.4
1996,1206555,619793,586762,9.7,1.4
1995,1187064,608547,578517,9.6,1.4
1994,1238328,635915,602413,10.0,1.5
1993,1188282,610244,578038,9.6,1.5
1992,1208989,622136,586853,9.8,1.5
1991,1223245,628615,594630,9.9,1.5
1990,1221585,626971,594614,10.0,1.5
1989,1246802,640506,606296,10.2,1.6
1988,1314006,674883,639123,10.8,1.7
1987,1346658,692304,654354,11.1,1.7
1986,1382946,711301,671645,11.4,1.7
1985,1431577,735284,696293,11.9,1.8
1984,1489780,764597,725183,12.5,1.8
1983,1508687,775206,733481,12.7,1.8
1982,1515392,777855,737537,12.8,1.8
1981,1529455,786596,742859,13.0,1.7
1980,1576889,811418,765471,13.6,1.8
1979,1642580,845884,796696,14.2,1.8
1978,1708643,879149,829494,14.9,1.8
1977,1755100,903380,851720,15.5,1.8
1976,1832617,943829,888788,16.3,1.9
1975,1901440,979091,922349,17.1,1.9
1974,2029989,1046538,983451,18.6,2.1
1973,2091983,1077517,1014466,19.4,2.1
1972,2038682,1051389,987293,19.3,2.1
1971,2000973,1032937,968036,19.2,2.2
1970,1934239,1000403,933836,18.8,2.1
1969,1889815,977687,912128,18.5,2.1
1968,1871839,967996,903843,18.6,2.1
1967,1935647,992778,942869,19.4,2.2
1966,1360974,705463,655511,13.7,1.6
1965,1823697,935366,888331,18.6,2.1
1964,1716761,882924,833837,17.7,2.1
1963,1659521,852561,806960,17.3,2.0
1962,1618616,833269,785347,17.0,2.0
1961,1589372,817599,771773,16.9,2.0
1960,1606041,824761,781280,17.2,2.0
1959,1626088,835822,790266,17.5,2.0
1958,1653469,848733,804736,18.0,2.1
1957,1566713,805220,761493,17.2,2.0
1956,1665278,856084,809194,18.4,2.2
1955,1730692,889670,841022,19.4,2.4
1954,1769580,911212,858368,20.0,2.5
1953,1868040,957524,910516,21.5,2.7
1952,2005162,1028061,977101,23.4,3.0
1951,2137689,1094641,1043048,25.3,3.3
1950,2337507,1203111,1134396,28.1,3.7
1949,2696638,1380008,1316630,33.0,4.3
1948,2681624,1378564,1303060,33.5,4.4
1947,2678792,1376986,1301806,34.3,4.5
